barriers_1,barriers_2,barriers_3,barriers_4,barriers_5,barriers_6,barriers_7,barriers_8,barriers_9,barriers_10,barriers_11,barriers_12,barriers_13,barriers_14,barriers_15,barriers_16,id,productivity_1
-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,81,20
1,1,-1,0,0,1,0,1,0,1,0,1,-1,0,0,0,82,50
0,0,-1,-2,-2,-1,-1,-1,0,0,0,0,0,0,0,0,83,-20
0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,84,30
0,0,0,0,0,-1,0,2,0,-1,1,-1,0,0,1,1,85,30
0,0,1,1,0,0,-1,-1,0,0,0,0,-2,0,0,0,86,0
1,1,0,1,1,0,2,2,1,2,1,1,0,1,2,0,87,-10
0,-1,-1,-1,0,-1,-2,0,0,0,-2,-2,0,-1,-1,1,88,-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,50
0,0,0,0,-2,-1,0,0,0,0,0,-1,0,0,0,0,90,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0
-1,-1,0,-1,-1,-2,0,-2,-1,-1,-2,-1,-2,-1,-2,-1,92,30
-1,-1,-1,-1,0,0,-2,-1,0,1,0,-1,-2,-1,-1,0,93,0
0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,94,0
0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,95,0
1,-1,0,-1,-1,-1,-2,1,0,-2,-1,-1,-1,1,0,1,96,-10
1,-1,1,-2,1,-1,0,1,1,1,-2,-1,-1,1,0,0,97,40
0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,98,50
1,1,0,2,0,1,2,0,2,2,-1,0,0,1,1,0,99,30
1,0,1,1,2,1,2,1,0,2,1,2,1,1,0,2,100,10
1,0,1,-2,0,1,0,1,0,1,0,1,1,2,0,1,101,20
-2,-2,0,0,0,-2,-2,-1,0,0,-2,0,-1,-2,-2,-1,102,10
0,0,0,0,0,-1,-1,0,1,0,1,0,0,0,1,0,103,30
1,1,2,1,1,2,2,1,1,2,2,2,2,2,0,2,104,40
0,0,0,0,0,0,0,0,0,-2,0,0,-1,0,0,0,105,0
-2,-1,0,-2,-1,-1,1,-2,-2,0,1,-1,-1,-1,-1,0,106,30
0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,107,40
0,0,1,-1,0,0,0,1,-1,0,1,0,1,0,0,1,108,0
0,1,1,0,1,1,-1,-1,1,0,1,1,1,1,1,1,109,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,30
0,-1,-1,0,1,0,-1,-1,0,0,1,-1,1,0,1,0,111,40
